0.005,137.9
0.01,125.2
0.015,125.9
0.02,126.9
0.025,126.0
0.03,126.6
0.035,127.1
0.04,127.3
0.045,128.0
0.05,125.2
0.055,128.0
0.06,126.1
0.065,126.0
0.07,124.7
0.075,126.5
0.08,125.1
0.085,124.0
0.09,124.5
0.095,125.4
0.1,126.1
0.105,125.1
0.11,126.8
0.115,126.1
0.12,126.5
0.125,125.2
0.13,98.1
0.135,98.0
0.14,98.3
0.145,98.6
0.15,98.5
0.155,98.7
0.16,98.3
0.165,98.3
0.17,97.9
0.175,98.5
0.18,98.4
0.185,98.8
0.19,98.5
0.195,100.2
0.2,99.4
0.205,99.0
0.21,98.7
0.215,98.4
0.22,98.9
0.225,100.2
0.23,99.4
0.235,98.9
0.24,99.0
0.245,98.7
0.25,100.2
